timepoint,treatment,Material,description,Domain,Domain_rep_rel_abund,Domain_st_dev_abund_samples
NA,NA,negative_c,negative_c_,Bacteria,0.9996931277098466,3.9336442173079015e-4
T1,UV,PP,PP_UV_T1,Bacteria,1,0
T1,UV,PS,PS_UV_T1,Bacteria,1,0
T1,UV,Nylon,Nylon_UV_T1,Bacteria,0.9999999999999999,0
T6,no UV,PP,PP_no UV_T6,Bacteria,0.9866133010061436,0.017197257185187734
T6,no UV,Nylon,Nylon_no UV_T6,Bacteria,1.0000000000000004,0
T1,no UV,PE,PE_no UV_T1,Bacteria,0.9989976540840264,0.0014175341091931153
T6,UV,PS,PS_UV_T6,Bacteria,0.9945279405777051,0.007283329087972148
T1,no UV,Nylon,Nylon_no UV_T1,Bacteria,1,0
T1,UV,PE,PE_UV_T1,Bacteria,1,0
T1,UV,PET,PET_UV_T1,Bacteria,1,0
T6,UV,Nylon,Nylon_UV_T6,Bacteria,0.9975611055152982,0.003169606004952855
T6,no UV,PET,PET_no UV_T6,Bacteria,0.9999999999999998,0
T6,no UV,PP,PP_no UV_T6,Archaea,0.013386698993856397,0.017228461054923743
T1,no UV,PP,PP_no UV_T1,Bacteria,0.9941707303402276,0.008243849196897425
T1,no UV,PS,PS_no UV_T1,Bacteria,0.9992076808351976,0.001120510817250047
T6,no UV,PS,PS_no UV_T6,Bacteria,0.9994723613269633,7.461953048738184e-4
T6,no UV,PE,PE_no UV_T6,Bacteria,0.9987829817433878,0.0012337443072998465
T6,UV,PE,PE_UV_T6,Bacteria,0.9981044623775033,0.0019156680223156063
T6,UV,PP,PP_UV_T6,Bacteria,0.9995601477239718,6.220463358403725e-4
T1,no UV,PET,PET_no UV_T1,Bacteria,1,0
T6,UV,PET,PET_UV_T6,Bacteria,0.9999999999999998,0
T6,UV,Nylon,Nylon_UV_T6,Archaea,0.002438894484701882,0.0031753571530474885
T6,UV,PS,PS_UV_T6,Archaea,0.005472059422295125,0.007296544454216807
T1,no UV,PP,PP_no UV_T1,Archaea,0.0058292696597724335,0.008258807395969155
T6,UV,PE,PE_UV_T6,Archaea,0.0018955376224972992,0.0019191439402938715
T6,no UV,PE,PE_no UV_T6,Archaea,0.0012170182566124486,0.0012359828966421774
NA,NA,negative_c,negative_c_,Archaea,3.068722901534139e-4,3.9389936730827295e-4
T6,UV,PP,PP_UV_T6,Archaea,4.398522760280509e-4,6.231750188987049e-4
T6,no UV,PS,PS_no UV_T6,Archaea,5.276386730367045e-4,7.475492522411465e-4
T1,no UV,PE,PE_no UV_T1,Archaea,0.0010023459159735552,0.0014201061792164613
T1,no UV,PS,PS_no UV_T1,Archaea,7.923191648023862e-4,0.0011225439480687027
T6,no UV,PET,PET_no UV_T6,Archaea,0,0
T6,no UV,Nylon,Nylon_no UV_T6,Archaea,0,0
T1,UV,PP,PP_UV_T1,Archaea,0,0
T1,no UV,Nylon,Nylon_no UV_T1,Archaea,0,0
T6,UV,PET,PET_UV_T6,Archaea,0,0
T1,UV,PET,PET_UV_T1,Archaea,0,0
T1,UV,PE,PE_UV_T1,Archaea,0,0
T1,UV,Nylon,Nylon_UV_T1,Archaea,0,0
T1,no UV,PET,PET_no UV_T1,Archaea,0,0
T1,UV,PS,PS_UV_T1,Archaea,0,0
